order_id,customer_id,flower_id,quantity,ordered_at,status
O001,C001,F001,12,2024-01-02 10:15:00,delivered
O002,C003,F007,6,2024-01-05 14:30:00,delivered
O003,C002,F009,10,2024-01-08 09:00:00,delivered
O004,C005,F013,4,2024-01-10 11:45:00,delivered
O005,C001,F011,2,2024-01-14 16:20:00,delivered
O006,C007,F004,24,2024-01-18 08:30:00,delivered
O007,C004,F008,3,2024-01-22 13:10:00,delivered
O008,C009,F001,18,2024-01-25 15:55:00,delivered
O009,C006,F015,20,2024-01-29 10:00:00,delivered
O010,C010,F003,8,2024-02-01 12:30:00,delivered
O011,C002,F012,1,2024-02-04 17:00:00,delivered
O012,C011,F005,30,2024-02-07 09:45:00,delivered
O013,C008,F013,6,2024-02-10 14:15:00,delivered
O014,C003,F001,24,2024-02-14 08:00:00,delivered
O015,C015,F007,4,2024-02-17 11:30:00,delivered
O016,C012,F009,15,2024-02-20 16:00:00,delivered
O017,C001,F014,5,2024-02-23 10:30:00,delivered
O018,C004,F002,12,2024-02-26 13:45:00,delivered
O019,C013,F011,2,2024-03-01 15:00:00,delivered
O020,C006,F004,20,2024-03-04 09:15:00,delivered
O021,C014,F008,2,2024-03-08 12:00:00,delivered
O022,C005,F015,30,2024-03-11 14:30:00,delivered
O023,C007,F001,36,2024-03-14 08:45:00,delivered
O024,C010,F012,1,2024-03-18 11:00:00,delivered
O025,C002,F005,18,2024-03-21 16:30:00,delivered
O026,C009,F013,8,2024-03-25 10:15:00,delivered
O027,C011,F007,3,2024-03-28 13:00:00,delivered
O028,C003,F009,12,2024-04-01 15:45:00,delivered
O029,C015,F002,10,2024-04-04 09:30:00,delivered
O030,C008,F011,3,2024-04-07 11:15:00,processing
O031,C001,F005,24,2024-04-10 14:00:00,processing
O032,C013,F003,6,2024-04-12 10:45:00,processing
O033,C004,F015,40,2024-04-14 16:15:00,shipped
O034,C006,F007,5,2024-04-16 09:00:00,shipped
O035,C012,F001,15,2024-04-18 12:30:00,pending
